icp;tc;ois;usd_loc;libor;inflation;real
0,515;761,64;0,052;0,008572361;0,38575;2,339962121;0,085
0,52;760,69;0,0541;0,00874051;0,378;2,339657478;0,09
0,515;763,23;0,054;0,008737456;0,37625;2,325333687;0,095
0,515;763,34;0,058;0,009325561;0,37388;2,325333687;0,095
0,51;773,52;0,057;0,009300745;0,3785;2,319652904;0,09
0,517;776,22;0,057;0,009227243;0,3765;2,32577585;0,097
0,525;781,92;0,059;0,009454743;0,37175;2,319814491;0,105
0,517;784,19;0,056;0,009208991;0,37213;2,26292772;0,097
0,51;787,13;0,056;0,009183812;0,36925;2,251570492;0,09
0,505;785,37;0,053;0,008695601;0,3655;2,227735656;0,085
0,5;786,74;0,0552;0,008920168;0,35925;2,22311956;0,08
0,49;784,31;0,057;0,009304424;0,36013;2,206199;0,06
0,48;787,13;0,059;0,009611088;0,35988;2,209210882;0,05
0,485;789,26;0,058;0,009434209;0,3575;2,197852472;0,055
0,48;797,67;0,0623;0,010068243;0,34875;2,157985691;0,05
0,485;798,45;0,063;0,0101415;0,34388;2,136216537;0,055
0,48;795,4;0,065;0,010535211;0,34788;2,146345309;0,05
0,49;798,76;0,066;0,010675378;0,3495;2,160766493;0,06
0,485;797,22;0,067;0,010699908;0,34763;2,176767328;0,045
0,485;797,02;0,066;0,010540208;0,34763;2,176767328;0,045
0,47;797,54;0,064;0,010143251;0,3455;2,179971706;0,03
0,46;799,04;0,063;0,009880797;0,344;2,193345252;0,02
0,483;802,99;0,065;0,010305605;0,34775;2,193345252;0,053
0,47;795,84;0,065;0,009958297;0,335;2,186618765;0,04
0,475;786,42;0,065;0,01010002;0,33975;2,186505568;0,035
0,475;787,03;0,065;0,010157423;0,33713;2,157382903;0,045
0,47;782,01;0,067;0,010371765;0,33488;2,163273151;0,05
0,465;778,67;0,07;0,010886054;0,33513;2,154968163;0,045
0,465;776,73;0,071;0,011037946;0,33663;2,165324061;0,045
0,455;775,45;0,065;0,010071267;0,332;2,142729375;0,035
0,46;771,03;0,065;0,010157403;0,33175;2,122959025;0,05
0,47;773,74;0,064;0,009445496;0,32763;2,219927885;0,05
0,47;772,56;0,0633;0,009458335;0,331;2,215220659;0,04
0,465;773,83;0,062;0,00941989;0,33013;2,172855623;0,035
0,46;768,01;0,063;0,008817274;0,33238;2,374876946;0,04
0,46;754,8;0,067;0,009165843;0,334;2,441455807;0,04
0,44;757,39;0,0632;0,008592501;0,33313;2,450254686;0,03
0,44;755,84;0,067;0,008697133;0,33375;2,571106024;0,04
0,46;753,83;0,069;0,008084326;0,33338;2,845409715;0,05
0,465;756,13;0,075;0,008736919;0,3325;2,854266993;0,055
0,468;756,62;0,079;0,009352975;0,33813;2,85601844;0,058
0,47;756,36;0,078;0,009172879;0,34188;2,907117865;0,06
0,48;756,15;0,073;0,008406261;0,3405;2,956903068;0,07
0,488;767,25;0,074;0,008306404;0,33938;3,023464613;0,068
0,505;766,41;0,075;0,008248175;0,33963;3,088228759;0,085
0,5;764,83;0,073;0,008079753;0,33875;3,060582409;0,09
0,495;757,66;0,0743;0,008696657;0,33875;2,894114894;0,115
0,49;757,7;0,069;0,007487299;0,33863;3,120680672;0,12
0,507;760,98;0,066;0,007040874;0,3365;3,15429609;0,127
0,55;770,9;0,069;0,007414487;0,33563;3,123408325;0,17
0,54;772,91;0,072;0,007762444;0,33563;3,113112403;0,16
0,523;770,01;0,072;0,007900306;0,33738;3,074736693;0,143
0,517;766,38;0,072;0,007793197;0,333;3,07652949;0,147
0,51;767,37;0,072;0,007688056;0,33038;3,09406713;0,13
0,535;767,4;0,074;0,007520759;0,33025;3,24947262;0,155
0,555;760,26;0,0757;0,00754119;0,33313;3,344026562;0,175
0,55;755,49;0,0765;0,007629894;0,33438;3,352611526;0,17
0,555;750,8;0,078;0,007891422;0,33638;3,32483031;0,175
0,555;745,05;0,079;0,00774624;0,33675;3,434343434;0,175
0,505;742,54;0,076;0,008099089;0,33825;3,174060874;0,115
0,505;744,36;0,08;0,008536416;0,33725;3,160576865;0,115
0,465;742,48;0,0824;0,008652368;0,33588;3,198721136;0,065
0,478;735,76;0,082;0,008733249;0,3345;3,140755589;0,098
0,48;733,23;0,0743;0,008008261;0,33588;3,116267412;0,1
0,49;733,85;0,0765;0,008206032;0,33488;3,121889061;0,11
0,5;734,99;0,076;0,008056019;0,33125;3,124992682;0,13
0,495;733,38;0,077;0,008196269;0,33313;3,129595803;0,125
0,505;721,73;0,078;0,008320549;0,33388;3,129918309;0,135
0,515;725,89;0,077;0,008216404;0,334;3,130079587;0,105
0,5;728,5;0,077;0,008179504;0,3325;3,130079587;0,06
0,5;724,23;0,078;0,008333107;0,33725;3,156745682;0,11
0,5;714,24;0,0766;0,007848418;0,33863;3,305004704;0,13
0,505;714,08;0,076;0,008098361;0,34038;3,194335341;0,125
0,505;714,75;0,076;0,008098361;0,34038;3,194335341;0,125
0,505;712,49;0,078;0,008238829;0,34038;3,222501601;0,145
0,5;714,76;0,077;0,00738044;0,34125;3,56025537;0,11
0,49;711,9;0,078;0,007507166;0,34238;3,557352987;0,09
0,49;710,5;0,0764;0,007342435;0,34188;3,557352987;0,09
0,49;710,5;0,076;0,007303993;0,34188;3,557352987;0,09
0,502;702,57;0,073;0,007719734;0,34063;3,221094201;0,132
0,502;698,88;0,072;0,007584339;0,32975;3,13039813;0,132
0,507;698,31;0,076;0,008151068;0,33238;3,099088412;0,147
0,515;709,87;0,0775;0,008571183;0,32925;2,977053952;0,155
0,505;710,73;0,073;0,009016458;0,32963;2,668785194;0,145
0,498;721,13;0,0745;0,009097376;0,32688;2,676877318;0,138
0,505;726,67;0,078;0,009532972;0,32563;2,664346421;0,145
0,507;741,66;0,077;0,009380888;0,32625;2,677918128;0,147
0,495;728,29;0,074;0,009087902;0,32575;2,652482413;0,135
0,468;733,73;0,072;0,008880818;0,32263;2,615677921;0,088
0,467;733,79;0,073;0,008704089;0,31238;2,619888052;0,117
0,465;736,42;0,072;0,008593611;0,313;2,62241344;0,085
0,465;722,4;0,07;0,008566267;0,31725;2,592436244;0,085
0,46;718,25;0,069;0,008616972;0,31538;2,52539048;0,09
0,465;728,02;0,0678;0,008084134;0,31225;2,618777842;0,105
0,46;732,71;0,0667;0,00803674;0,31225;2,591482933;0,09
0,45;732,47;0,071;0,008518634;0,3115;2,596249655;0,08
0,44;739,46;0,071;0,008518123;0,312;2,600572784;0,08
0,42;738,49;0,073;0,008911757;0,31075;2,54548558;0,07
0,44;732,35;0,07;0,008280433;0,31113;2,630188512;0,08
0,455;736,7;0,072;0,008204801;0,3055;2,680869483;0,105
0,46;731,33;0,074;0,008100082;0,30413;2,77844356;0,11
0,465;732,8;0,072;0,00793841;0,306;2,775366989;0,115
0,47;739,54;0,071;0,007645615;0,306;2,841628662;0,12
0,495;737,05;0,073;0,007829345;0,30413;2,835676537;0,145
0,56;733,99;0,076;0,008420638;0,30638;2,765215782;0,21
0,545;734,72;0,077;0,008276481;0,30563;2,843419907;0,195
0,54;726,16;0,075;0,0077507;0,30513;2,952604271;0,19
0,533;724,34;0,077;0,007788966;0,30363;3,001619246;0,183
0,54;722,15;0,077;0,008114472;0,29975;2,84439345;0,2
0,565;719,42;0,077;0,007413792;0,3005;3,121007272;0,225
0,57;718,65;0,08;0,008348809;0,30263;2,899862671;0,23
0,575;715,01;0,082;0,008027917;0,29613;3,024776986;0,225
0,59;712,44;0,082;0,008163129;0,291;2,923143714;0,25
0,582;707,95;0,0861;0,008740321;0,2865;2,822281838;0,232
0,587;708,24;0,087;0,00915263;0,2855;2,713810083;0,247
0,567;707,04;0,0869;0,009123583;0,28463;2,71103428;0,237
0,59;703,57;0,085;0,008247628;0,278;2,86506612;0,26
0,605;714;0,089;0,008573608;0,28025;2,909189609;0,275
0,615;725,39;0,087;0,00849815;0,28375;2,904897003;0,285
0,577;722,16;0,086;0,008281863;0,28363;2,945252892;0,237
0,577;731,72;0,085;0,007847243;0,279;3,022080521;0,237
0,63;728,3;0,083;0,00814846;0,282;2,8724445;0,28
0,62;725,89;0,082;0,007575487;0,28375;3,071419761;0,27
0,648;736,98;0,081;0,007244321;0,27775;3,10557043;0,298
0,665;734,72;0,08;0,00765979;0,28025;2,926973353;0,315
0,635;735,03;0,0797;0,007616069;0,27963;2,926248386;0,315
0,6;726,25;0,0833;0,008105625;0,27863;2,863428668;0,27
0,585;715,56;0,0804;0,008349825;0,27725;2,669624711;0,225
0,618;721,7;0,08;0,007960176;0,27813;2,795214534;0,258
0,645;723,47;0,08;0,008026548;0,281;2,800705869;0,285
0,663;728,65;0,082;0,008152671;0,28075;2,823798655;0,303
0,695;729,36;0,075;0,007217231;0,28088;2,918848087;0,335
0,745;718,74;0,0779;0,007486113;0,27588;2,870789113;0,385
0,725;716,28;0,073;0,00659157;0,27625;3,059399887;0,355
0,715;716,84;0,0753;0,006807291;0,27625;3,055785858;0,345
0,73;723,16;0,077;0,007034187;0,27938;3,05824414;0,36
0,765;726,41;0,078;0,007599242;0,28;2,873970753;0,395
0,745;727,2;0,075;0,007259979;0,28075;2,900318284;0,365
0,755;729,68;0,075;0,006809921;0,28075;3,091996349;0,375
0,73;731,29;0,079;0,007546515;0,2815;2,946856932;0,35
0,748;730,2;0,079;0,007687033;0,28663;2,945710092;0,368
0,813;719;0,081;0,007336744;0,28313;3,125845737;0,433
0,775;717,5;0,08;0,007146307;0,2805;3,140083431;0,365
0,775;717,19;0,084;0,007503622;0,2805;3,140083431;0,365
0,73;720,55;0,0807;0,007293346;0,2805;3,10369889;0,31
0,71;717,2;0,078;0,007712756;0,28625;2,894879515;0,29
0,692;713,18;0,084;0,007923211;0,28525;3,024152628;0,272
0,675;708,35;0,082;0,007573838;0,28675;3,104568517;0,265
0,69;711,71;0,082;0,008179653;0,28575;2,86460812;0,28
0,695;712,1;0,083;0,007727182;0,28438;3,054611779;0,285
0,685;708,41;0,0824;0,007729596;0,28775;3,06750821;0,275
0,678;708,28;0,0835;0,008466333;0,28675;2,828098587;0,258
0,65;700,56;0,0902;0,008400736;0,28775;3,089616377;0,22
0,66;704,03;0,0931;0,008809896;0,29238;3,089772919;0,23
0,695;701,62;0,0927;0,008546048;0,28675;3,110411315;0,255
0,71;696,85;0,0922;0,008414431;0,287;3,144764097;0,27
0,722;696,8;0,0917;0,008131289;0,28225;3,183053172;0,282
0,727;706,76;0,0921;0,008070296;0,28075;3,203981122;0,277
0,725;712,05;0,0928;0,00816825;0,28088;3,191095246;0,275
0,745;705,48;0,0922;0,008002727;0,282;3,248942408;0,295
0,748;702,33;0,094;0,008761639;0,28263;3,032220216;0,298
0,75;697,79;0,0889;0,007742211;0,28375;3,258161777;0,31
0,72;705,73;0,0923;0,009081967;0,28138;2,859663963;0,27
0,707;710,45;0,0916;0,013075201;0,28113;1,969492358;0,257
0,71;703,7;0,0939;0,01171643;0,28113;2,253084525;0,26
0,705;701,9;0,0901;0,009536232;0,28288;2,672700113;0,245
0,703;704,7;0,0865;0,009938542;0,279;2,428273688;0,203
0,675;699,32;0,0861;0,008592326;0,2735;2,740625911;0,155
0,683;694,93;0,0828;0,009316474;0,271;2,408507737;0,183
0,68;694,81;0,0821;0,008125864;0,267;2,697645408;0,18
0,715;702,91;0,0832;0,007981458;0,26513;2,763757858;0,215
0,737;707,34;0,0825;0,007256661;0,26438;3,005700435;0,267
0,752;707,96;0,0813;0,00807986;0,26463;2,662721893;0,282
0,877;700,41;0,0792;0,007878492;0,26588;2,672807961;0,407
0,945;716,79;0,0794;0,007665685;0,2645;2,739650667;0,475
0,89;712,57;0,0795;0,008136492;0,26275;2,567276395;0,38
0,91;712,16;0,0845;0,010691621;0,2635;2,082542089;0,41
0,972;718,5;0,0797;0,009403398;0,264;2,237574127;0,462
0,985;718,49;0,0811;0,009410188;0,25963;2,237574127;0,475
0,96;729,51;0,0804;0,008841168;0,25825;2,348479236;0,48
0,92;734,4;0,0792;0,008443071;0,256;2,401401093;0,41
0,91;729,74;0,0784;0,008988786;0,25188;2,196892015;0,35
0,945;728,85;0,0828;0,007627884;0,24875;2,700159119;0,375
0,95;723,5;0,0826;0,007745597;0,24813;2,646089029;0,37
0,95;722,12;0,0877;0,008180741;0,24813;2,660028227;0,32
1,04;725;0,0818;0,007936504;0,24688;2,544544034;0,42
1,058;716,69;0,0824;0,00692215;0,24488;2,915006478;0,448
1,12;719,94;0,0825;0,006461656;0,24563;3,136111539;0,47
1,183;717,81;0,0817;0,006611944;0,246;3,039680793;0,503
1,225;715,54;0,0822;0,006681825;0,24163;2,972539311;0,525
1,19;717,76;0,0818;0,007071201;0,24075;2,785007908;0,47
1,44;719,72;0,0791;0,006663452;0,24088;2,859419875;0,75
1,48;720,73;0,0799;0,005927284;0,23925;3,225098392;0,69
1,507;722,56;0,0807;0,005581301;0,23938;3,461194251;0,707
1,555;718,25;0,0863;0,006290734;0,2375;3,258165232;0,635
1,543;726,75;0,0875;0,006211128;0,23325;3,285936885;0,573
1,49;726,84;0,0995;0,007108945;0,2345;3,282167621;0,48
1,535;737,55;0,0998;0,007187071;0,24513;3,403886714;0,505
1,54;748,45;0,1042;0,00768759;0,24013;3,254797178;0,47
1,54;747,42;0,1077;0,008301524;0,25088;3,254797178;0,47
1,58;742,35;0,1012;0,007009858;0,24563;3,546114039;0,45
1,64;734,99;0,104;0,007808067;0,2435;3,243312459;0,51
1,705;734,57;0,1057;0,008213912;0,24763;3,186604796;0,565
1,805;733,84;0,1036;0,00756791;0,24925;3,412078259;0,705
1,805;733,59;0,1036;0,007514775;0,2475;3,412078259;0,705
1,805;728,47;0,1035;0,007988529;0,24988;3,23746476;0,615
1,795;734,42;0,1044;0,008279371;0,24625;3,105127209;0,455
1,805;741,44;0,1055;0,007535023;0,24438;3,421633888;0,525
1,832;735,5;0,1031;0,007090809;0,2445;3,555017401;0,452
