codigocurva;tenor;DF
Curva_USD_CL;7312;0,360056109
Curva_USD_CL;7493;0,356985387
Curva_USD_CL;7679;0,353372951
Curva_USD_CL;7861;0,339887442
Curva_USD_CL;8043;0,326703718
Curva_USD_CL;8225;0,313827979
Curva_USD_CL;8408;0,301226264
Curva_USD_CL;8589;0,28902162
Curva_USD_CL;8773;0,276888071
Curva_USD_CL;8954;0,260601475
Curva_USD_CL;9138;0,245097093
Curva_USD_CL;9320;0,23899611
Curva_USD_CL;9506;0,232703565
Curva_USD_CL;9685;0,222508875
Curva_USD_CL;9870;0,21245686
Curva_USD_CL;10052;0,2028241
Curva_USD_CL;10234;0,193516178
Curva_USD_CL;10416;0,184530194
Curva_USD_CL;10599;0,175836851
Curva_USD_CL;10781;0,167484647
Curva_USD_CL;10965;0,15939414
Curva_CLF_CL;1;1,000099138
Curva_CLF_CL;2;1,000198127
Curva_CLF_CL;27;1,002457127
Curva_CLF_CL;58;1,00245098
Curva_CLF_CL;88;1,002835781
Curva_CLF_CL;119;0,9979345
Curva_CLF_CL;150;0,992275621
Curva_CLF_CL;178;0,989424588
Curva_CLF_CL;209;0,983438078
Curva_CLF_CL;239;0,979881515
Curva_CLF_CL;270;0,974284275
Curva_CLF_CL;300;0,970831197
Curva_CLF_CL;331;0,964514295
Curva_CLF_CL;362;0,960395225
Curva_CLF_CL;392;0,957158891
Curva_CLF_CL;423;0,956186308
Curva_CLF_CL;453;0,954011929
Curva_CLF_CL;484;0,95082399
Curva_CLF_CL;515;0,947631044
Curva_CLF_CL;544;0,944582808
Curva_CLF_CL;728;0,932258234
Curva_CLF_CL;910;0,922513865
Curva_CLF_CL;1093;0,915602961
Curva_CLF_CL;1274;0,909061483
Curva_CLF_CL;1458;0,904555758
Curva_CLF_CL;1639;0,896313049
Curva_CLF_CL;1823;0,888784381
Curva_CLF_CL;2005;0,87847377
Curva_CLF_CL;2191;0,86807499
Curva_CLF_CL;2370;0,858511177
Curva_CLF_CL;2555;0,848876228
Curva_CLF_CL;2737;0,841085593
Curva_CLF_CL;2919;0,833662553
Curva_CLF_CL;3101;0,824696629
Curva_CLF_CL;3284;0,815862042
Curva_CLF_CL;3466;0,80469694
Curva_CLF_CL;3650;0,793305819
Curva_CLF_CL;3831;0,782926124
Curva_CLF_CL;4015;0,772273176
Curva_CLF_CL;4196;0,761734979
Curva_CLF_CL;4382;0,750901691
Curva_CLF_CL;4561;0,741537216
Curva_CLF_CL;4746;0,731983764
Curva_CLF_CL;4928;0,722481665
Curva_CLF_CL;5111;0,712824728
Curva_CLF_CL;5292;0,703531339
Curva_CLF_CL;5476;0,694439286
Curva_CLF_CL;5657;0,684335094
Curva_CLF_CL;5841;0,67432442
Curva_CLF_CL;6022;0,664887104
Curva_CLF_CL;6206;0,654986741
Curva_CLF_CL;6388;0,645148139
Curva_CLF_CL;6573;0,635149477
Curva_CLF_CL;6755;0,625207834
Curva_CLF_CL;6937;0,615152147
Curva_CLF_CL;7119;0,605281848
Curva_CLF_CL;7302;0,595630664
Curva_CLF_CL;7483;0,581628941
Curva_CLF_CL;7667;0,56757966
Curva_CLF_CL;7849;0,554249968
Curva_CLF_CL;8033;0,540459109
Curva_CLF_CL;8214;0,526930127
Curva_CLF_CL;8400;0,513116163
Curva_CLF_CL;8579;0,499835294
Curva_CLF_CL;8764;0,48614761
Curva_CLF_CL;8946;0,472969788
Curva_CLF_CL;9128;0,459999938
